"SampleID"	"Haplogroup"	"Rank"	"Quality"	"Range"
"L1c3c"	"L1c"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L1c4a*"	"L1c"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L1c4b"	"L1c"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L1c5"	"L1c5"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L1c6"	"L1c"	"1"	"0.9699"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L2a1a"	"L2a1a"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L2a1b"	"L2a1'2'3'4"	"1"	"0.9855"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L2a1c+16129*"	"L2a1c"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L2a1d2*"	"L2a1d2*"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L2a1e1"	"L2a1'2'3'4"	"1"	"0.9502"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L2a1f3"	"L2a1'2'3'4"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L2a1g"	"L2a1'2'3'4"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L2a1h*"	"L2a1'2'3'4"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L2a1i1"	"L2a1'2'3'4"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
"L2a1j"	"L2a1'2'3'4"	"1"	"1.0000"	"9555 10135 9347 9626 10370 10237 10399 9646 10372 10259 10401 7159 9716 7274 10352 10550 7175 9818 7867 10586 9823 8187 10589 9832 8427 10589 9908 8571 10656 9941 8584 10688 9949 8615 10043 10711 10132 10034 8648 10086 10732 13966 8718 10872 14152 8783 11145 14211 8860 11175 14283 8869 11177 14566 8974 11185 14798 9025 11206 14861 9042 11230 14871 9072 11251 14905 9089 11298 15042 9093 11364 15203 9120 11473 15216 9180 11479 15223 9247 11546 15243 9336 11641 15311 9341 11673 15451 11718 15535 11812 15606 11842 15629 11898 15758 11914 15832 11929 1596 15883 12006 1623 15926 12188 1641 15932 12192 1681 15953 12196 1703 16143 12236 1734 16153 12339 1778 16323 12361 1784 12372 1833 12567 1851 228 5398 12612 1923 250 5603 12632 1988 415 5656 12669 2010 663 5951 12692 2016 665 6370 12704 2082 703 6454 12720 2158 709 6460 12762 2176 710 6466 12767 2275 748 6481 12849 2332 757 6505 13028 2381 769 6527 13062 2413 913 6606 13071 2416 1046 6613 13104 2483 1192 6752 13205 2514 1243 6826 13262 2544 1327 6989 13368 3927 13268 2571 4024 13314 1376 7028 13383 3972 13276 2690 4071 7158 1389 7073 13401 1489 7116 2706 4561 4927 1438 7084 13485 1495 4883 2753 4580 4977 2831 4769 13590 2866 3148 2756 4655 4984 2857 3022 13598 2885 3218 13708 3010 5249 13789 3693 13616 3001 3281 13733 3606 5284 13914 3696 3393 3593 3308 3449 3436 5319 13964 3719 3335 3479 3348 3732 3547 3914"
